全衣柜编号,名称,分类编号,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取方式,套装,版本号
70071,甜心巧克力·珍稀,071,5,,S,,S,,S,,S,,S,,,,设·进070,巧克力女仆,V1.3.2
70072,音乐盒·棕,072,3,,,SS,A,,B,,B,,,S,英伦,,浪·迷/浪·幻,,V1.3.2
70073,花落海,073,3,,,SS,S,,B,,C,,S,,,,浪·迷/浪·幻/6-7公,,V1.3.2
70074,花落海·华丽,074,4,,S,,SS,,B,,B,,S,,,,设·进073/浪·迷/浪·幻,,V1.3.2
70075,花落海·珍稀,075,5,,SS,,S,,B,,,B,SS,,,,设·进074,上海烟云梦,V1.3.2
70076,熊猫睡衣·拖鞋,076,3,,,A,,A,,A,,S,,A,睡衣,小动物,设·图,熊猫梦乡,V1.3.2
70077,爱心睡衣·拖鞋,077,3,,,A,,A,,A,,S,,A,睡衣,,设·定076,,V1.3.2
70078,战火·黑,078,3,,B,,,S,B,,S,,,S,摇滚风,,设·图,性感不良,V1.3.2
70079,金煌,079,5,,S,,A,,S,,S,,S,,晚礼服,,赠·V礼包,舞会皇后,V1.3.2
70080,花嫁,080,4,,S,,S,,,A,,B,SS,,婚纱,,设·图,美梦成真,V1.3.2
70081,森系雪地靴,081,4,,,A,,S,,S,,A,,S,森女系列,冬装,店·金币,森女与麋鹿,V1.3.2
70082,星之海舞鞋,082,6,,S,,S,,S,,S,,S,,,,设·图,星之海,V1.3.2
70084,黑夜哥特,084,4,,S,,S,,,S,,B,,A,哥特风,,设·图,哥特萝莉,V1.3.2
70085,梦兰·珍稀,085,5,,S,,,A,,A,S,,S,,中式古典,,设·进097,蝴蝶兰翩翩·粉,V1.3.2
70087,白锦履,087,5,,,S,SS,,B,,,S,SS,,中式古典,,设·图,小龙女,V1.3.2
70088,月兰,088,3,,,A,S,,C,,,S,S,,中式古典,,浪·迷,岸芷汀兰,V1.3.2
70089,枫忍,089,3,,S,,,A,,A,,A,S,,侠客联盟,,浪·迷/浪·幻/5-1公,,V1.3.2
70090,枫忍·华丽,090,4,,SS,,,S,A,,,A,SS,,侠客联盟,,设·进089/浪·迷/浪·幻,,V1.3.2
70091,枫忍·珍稀,091,5,,SS,,,SS,S,,,A,SS,,侠客联盟,,设·进090,枫千叶女忍,V1.3.2
70092,火照,092,3,,,A,,B,,S,,S,S,,和风,沐浴,浪·迷/浪·幻/4-4公/5-10公,,V1.3.2
70093,火照·华丽,093,4,,B,,S,,,A,,S,S,,和风,,设·进092,,V1.3.2
70094,火照·珍稀,094,5,,SS,,,B,,S,,S,S,,和风,,设·进093,鬼姬彼岸花,V1.3.2
70095,罂夭,095,5,,SS,,SS,,S,,A,,A,,,,赠·充值,罂粟千狐,V1.6.3
70096,梦兰,096,3,,,A,S,,,A,A,,S,,中式古典,,浪·迷/浪·幻/浪·缥缈/5-5公,,V1.3.2
70097,梦兰·华丽,097,4,,S,,A,,,S,S,,S,,中式古典,,设·进096,,V1.3.2
70098,雀喙,098,5,,S,,S,,S,,S,,A,,中式古典,,浪·迷/浪·幻,孔雀东南飞,V1.3.2
70099,战士,099,4,,,S,,S,,B,,S,,S,中性风,,设·图,罗密欧,V1.3.2
70100,云烟,100,3,,,A,S,,,A,,A,A,,中式现代,学院系,店·金币,人间四月天,V1.3.2
70101,温俏,101,3,,,S,B,,,S,,S,S,,,,浪·迷/浪·幻,,V1.3.2
70102,翠旗,102,5,,A,,SS,,,A,S,,,S,中式古典,,兑·仙履,清宫丽影,V1.3.2
70103,兰猗,103,3,,,S,S,,,C,,S,A,,中式古典,,设·图,幽兰赋,V1.3.2
70104,花影,104,4,,,C,S,,,S,,S,S,,,,浪·迷/浪·幻,,V1.3.2
70105,玺拖,105,2,,,A,,A,,A,,A,A,,沐浴,,设·图,,V1.3.2
70106,红皮鞋,106,4,,,S,,S,,S,,S,A,,洛丽塔,,店·金币/浪·迷/浪·幻/6-8公/7-7公,,V1.3.2
70107,红皮鞋·华丽,107,4,,,A,,A,,S,,S,S,,洛丽塔,,设·进106/浪·迷/浪·幻,,V1.3.2
70108,红皮鞋·珍稀,108,5,,S,,,S,,S,,S,S,,洛丽塔,,设·进107,小红帽奇遇记,V1.3.2
70109,晴天·绿,109,4,,,C,S,,,S,,SS,S,,,,店·金币/浪·迷/浪·幻,,V1.3.2
70110,晴天·粉,110,4,,C,,,S,,S,,S,S,,,,设·定109,,V1.3.2
70111,学生鞋·棕,111,3,,,B,A,,,S,,S,S,,英伦,,浪·迷/浪·幻,,V1.3.2
70112,玲珑·拖鞋,112,3,,,A,,A,,S,,S,S,,泳装,沐浴,设·图,玲珑清心,V1.3.2
70115,流苏鞋,115,3,,S,,C,,,S,,A,,S,,,店·钻石,,V1.3.2
70118,加绒板鞋,118,3,,,A,,A,,S,,S,,S,冬装,,店·金币/浪·迷/浪·幻,,V1.3.2
70119,漆皮高跟鞋·黑,119,2,,,A,A,,A,,A,,A,,,,店·金币,,V1.3.2
70120,漆皮高跟鞋·红,120,2,,,A,A,,A,,A,,A,,,,设·定119,,V1.3.2
70122,漆皮高跟鞋·紫,122,2,,,S,A,,A,,,B,S,,,,设·定119,,V1.3.2
70123,白色高跟鞋,123,2,,,A,A,,A,,A,,A,,,,1-3少,,V1.3.2
70124,斑马脚印,124,3,,,C,S,,A,,S,,S,,,,设·定123,,V1.3.2
70125,豹纹高跟鞋·银,125,3,,,B,B,,S,,S,,S,,碎花,,设·定123,,V1.3.2
70126,豹纹高跟鞋·黄,126,3,,S,,B,,S,,S,,A,,碎花,,设·定123,,V1.3.2
70129,花苞球·白,129,3,,,S,B,,B,,,S,S,,,,6-10少,,V1.3.2
70130,花苞球·淡蓝,130,3,,,S,S,,,S,,S,S,,,,设·定129,,V1.3.2
70131,花苞球·深蓝,131,3,,,S,A,,A,,,A,A,,,,设·定129,,V1.3.2
70132,行走的诗·白,132,3,,,S,,B,,S,B,,S,,,,6-6少,,V1.3.2
70133,行走的诗·褐,133,3,,,S,A,,,C,S,,A,,,,设·定132,,V1.3.2
70134,行走的诗·黄,134,3,,,S,,S,,S,B,,S,,,,设·定132,,V1.3.2
70135,纹格印象·红,135,3,,,S,A,,A,,A,,A,,,,6-4少,,V1.3.2
70136,纹格印象·蓝,136,3,,,A,A,,S,,A,,A,,,,设·定135,,V1.3.2
70138,脚踝诱惑·白,138,3,,,B,S,,S,,S,,S,,,,6-2少,,V1.3.2
70139,脚踝诱惑·格纹,139,3,,,C,S,,S,,S,,S,,,,设·定138,,V1.3.2
70140,兔乐乐,140,3,,,A,,A,,A,,A,S,,小动物,,2-7少,,V1.3.2
70142,糖果鞋·黄,142,3,,,B,S,,,B,,S,S,,,,店·钻石,,V1.3.2
70143,糖果鞋·蓝,143,3,,,S,S,,,B,,S,S,,,,设·定142,,V1.3.2
70144,糖果鞋·红,144,3,,,S,B,,,B,,S,S,,,,设·定142,,V1.3.2
70145,布洛克秘密,145,4,,A,,S,,,S,,S,S,,,,赠·成就,,V1.3.2
70147,灰色板鞋,147,2,,,S,,B,,A,,A,B,,,,店·金币/浪·迷/4-7少,,V1.3.2
70148,铆钉板鞋,148,2,,,A,,A,,A,,A,A,,,,设·定147,,V1.3.2
70149,绿格板鞋,149,2,,,A,,A,,A,,A,A,,,,设·定147,,V1.3.2
70152,豆豆鞋,152,3,,,S,,A,,A,,S,A,,,,店·金币,,V1.3.2
70157,普通高跟鞋·黑,157,1,,,C,A,,A,,,C,A,,,,店·金币,,V1.3.2
70158,普通高跟鞋·蓝,158,1,,,S,C,,C,,,S,A,,,,设·定157,,V1.3.2
70159,普通高跟鞋·桂,159,1,,,C,A,,B,,,S,A,,,,设·定157,,V1.3.2
70160,普通高跟鞋·粉,160,1,,,S,C,,C,,,A,A,,,,设·定157,,V1.3.2
70163,黑色松糕鞋,163,3,,,S,,S,,C,,S,S,,,,店·金币/浪·迷/浪·幻,,V1.3.2
70164,背扣松糕鞋,164,3,,,S,,S,,C,,A,S,,,,浪·迷/浪·幻,,V1.3.2
70167,透明松糕鞋,167,3,,S,,A,,,C,,S,S,,,,店·金币,,V1.3.2
70169,居家拖鞋·白,169,1,,,B,,B,,A,,A,,B,睡衣,沐浴,店·金币/浪·迷/1-3少/8-3少/9-2少,,V1.3.2
70171,居家拖鞋·红,171,1,,,A,,A,,A,,A,,B,睡衣,沐浴,设·定169,,V1.3.2
70172,欧罗巴·黑,172,3,,,S,,S,,S,,B,,B,,,店·金币,,V1.3.2
70173,欧罗巴·棕,173,3,,,SS,,A,,A,,A,,A,,,设·定172,,V1.3.2
70174,欧罗巴·蓝,174,3,,,A,SS,,,A,,A,,A,,,设·定172,,V1.3.2
70175,欧罗巴·红,175,3,,,S,,S,,S,,S,,B,,,设·定172,,V1.3.2
70178,霓虹,178,3,,A,,A,,A,,,S,A,,,,浪·迷/浪·幻/赠·成就,,V1.3.2
70179,藏蓝,179,3,,,S,A,,,B,,S,A,,,,设·定178,,V1.3.2
70184,绝对角度·黑,184,3,,,S,A,,A,,S,,S,,OL,,浪·迷/浪·幻,,V1.3.2
70185,绝对角度·紫,185,3,,,S,A,,A,,A,,A,,OL,,设·定184,,V1.3.2
70186,尖头珍珠,186,3,,,B,B,,B,,,SS,SS,,,,店·金币,,V1.3.2
70195,长亭,195,2,,,B,S,,S,,C,,S,,,,浪·迷,,V1.3.2
70207,障眼法,207,4,,,B,SS,,,S,,A,SS,,,,浪·迷/浪·幻,,V1.3.2
70210,布洛克迷宫·棕,210,3,,,C,S,,A,,,A,,S,pop,,浪·幻,,V1.3.2
70211,布洛克迷宫·白,211,3,,,B,B,,S,,,B,,SS,pop,,设·定210,,V1.3.2
70212,英伦鞋·白,212,3,,,S,,B,,S,,S,,A,,,店·金币,,V1.3.2
70214,英伦鞋·灰,214,3,,,B,S,,,A,,S,,S,,,设·定212,,V1.3.2
70215,英伦鞋·棕,215,3,,,C,S,,,S,,S,,A,,,设·定212,,V1.3.2
70217,鱼嘴坡跟鞋·灰,217,2,,,B,S,,S,,,B,S,,,,浪·迷,,V1.3.2
70218,鱼嘴坡跟鞋·红,218,2,,,C,S,,S,,,C,S,,,,设·定217,,V1.3.2
70220,运动鞋·绿,220,2,,,A,,A,,A,,A,,A,中性风,,店·金币/浪·迷/5-12少,,V1.3.2
70221,运动鞋·紫,221,2,,,S,,A,,A,,A,,A,中性风,,设·定220,,V1.3.2
70222,普通跑鞋·白,222,2,,,A,,A,,A,,A,,A,运动系,,浪·迷,,V1.3.2
70225,普通跑鞋·红,225,2,,,B,,S,,A,,A,,B,运动系,,设·定222,,V1.3.2
70226,普通胶靴·粉,226,3,,,B,,S,B,,,S,,S,运动系,,浪·幻,,V1.3.2
70227,普通胶靴·紫,227,3,,,A,,S,B,,,S,,S,运动系,,设·定226,,V1.3.2
70229,沙滩凉拖·红,229,2,,,A,,A,,A,,A,A,,沐浴,睡衣,店·金币,,V1.3.2
70230,沙滩凉拖·黑,230,2,,,A,,A,,A,,S,A,,沐浴,睡衣,设·定229,,V1.3.2
70235,钻辉,235,2,,,S,A,,B,,,A,S,,,,店·金币/浪·迷,,V1.3.2
70240,炽焰铆钉,240,3,,,S,,S,B,,B,,S,,,,浪·幻,,V1.3.2
70242,沉默年代,242,3,,,S,S,,A,,A,,S,,,,3-5少,,V1.3.2
70247,海樱玫瑰·黑,247,3,,S,,S,,S,,S,,B,,,,浪·幻,,V1.3.2
70248,海樱玫瑰·白,248,3,,S,,S,,S,,B,,B,,,,设·定247,,V1.3.2
70249,绑带,249,3,,,S,,A,A,,A,,S,,,,店·金币/浪·迷/浪·幻,,V1.3.2
70250,蜿蜒,250,3,,,S,A,,A,,A,,S,,,,店·金币/浪·迷/浪·幻,,V1.3.2
70253,爱心高跟鞋,253,3,,,S,,B,,S,B,,S,,,,浪·幻,,V1.3.2
70260,洞洞鞋·蓝,260,3,,,A,,S,,A,,A,A,,pop,,店·金币,,V1.3.2
70263,洞洞鞋·粉,263,3,,,A,,S,,S,,A,S,,pop,,店·金币,,V1.3.2
70270,纸飞机,270,3,,,S,,S,C,,,S,S,,,,店·金币,,V1.3.2
70275,宝石凉鞋·银,275,2,,A,,,A,,B,A,,S,,,,店·金币/浪·迷,,V1.3.2
70276,宝石凉鞋·金,276,3,,B,,,A,,A,S,,S,,,,设·定275,,V1.3.2
70277,轻松鞋,277,2,,,A,B,,,A,,B,A,,,,店·金币/浪·迷/5-9少,,V1.3.2
70279,短款雪地靴·棕,279,2,,,A,,A,,A,,S,,A,冬装,,店·金币/浪·迷/4-5少,,V1.3.2
70280,短款雪地靴·灰,280,2,,,S,,B,,A,,A,,A,冬装,,设·定279,,V1.3.2
70281,高筒雪地靴·棕,281,3,,,A,,S,,A,,S,,A,冬装,,店·金币/浪·迷/浪·幻,,V1.3.2
70282,高筒雪地靴·白,282,3,,,A,,A,,S,,A,,A,冬装,,设·定281,,V1.3.2
70283,雪地靴,283,3,,,S,C,,,S,,A,,S,冬装,,浪·幻,,V1.3.2
70292,黑钻舞台,292,4,,S,,B,,S,,S,,,S,,,浪·幻,,V1.3.2
70294,过膝长靴,294,3,,,S,A,,A,,A,,,S,,,2-2少,,V1.3.2
70295,翻折长靴,295,4,,,SS,S,,,A,,B,,SS,,,浪·迷/浪·幻,,V1.3.2
70301,叶落,301,3,,B,,,B,,B,,SS,,S,洛丽塔,,店·钻石,,V1.3.2
70302,枫林,302,3,,S,,,A,,A,,A,,S,洛丽塔,,设·定301,,V1.3.2
70303,牛轧糖,303,3,,,S,,A,,A,,A,,S,洛丽塔,,设·定301,,V1.3.2
70324,娃娃鞋·白,324,3,,,A,,A,,A,,A,A,,,,店·钻石,,V1.3.2
70325,娃娃鞋·粉,325,3,,,S,B,,,S,,S,S,,,,设·定324,,V1.3.2
70327,娃娃鞋·蓝,327,3,,,S,,S,,B,,A,S,,,,设·定324,,V1.3.2
70340,甜点,340,4,,A,,,S,,S,,S,S,,洛丽塔,,店·金币,甜甜糕点师,V1.3.2
70341,甜点·灰,341,4,,A,,S,,,A,,S,S,,洛丽塔,,设·定340,,V1.3.2
70342,甜点·绿,342,4,,A,,S,,,S,,A,S,,洛丽塔,,设·定340,,V1.3.2
70343,甜点·黑,343,4,,S,,,S,,A,,S,A,,洛丽塔,,设·定340,,V1.3.2
70344,温雅侍者·鞋,344,2,,,A,A,,B,,,S,A,,中性风,英伦,店·金币/浪·迷/5-8少,,V1.3.2
70345,斯文侍者·鞋,345,2,,,B,A,,A,,,A,A,,中性风,英伦,设·定344,,V1.3.2
70348,兔女郎高跟鞋,348,4,,,S,S,,S,,A,,S,,,,设·图,兔女郎,V1.3.2
70349,繁星,349,5,,,C,S,,S,,A,,A,,,,赠,璀璨星河,V1.3.2
70350,腊月绒靴,350,3,,,C,,A,,S,,S,,A,冬装,,设·图,,V1.3.2
70351,田园披萨,351,3,,,A,,A,,A,,A,,A,欧式古典,,设·图,美食外卖员,V1.3.2
70352,医生鞋,352,3,,,S,A,,S,,A,,S,,,,1-3公,神圣医者,V1.3.2
70353,兔子洞,353,4,,S,,,S,,S,,S,A,,童话系,,兑·仙履,爱丽丝仙境,V1.3.2
70354,征服海洋·蓝,354,4,,,A,,S,,S,,S,,S,中性风,,浪·迷,海豹小水手,V1.3.2
70355,虔诚之花·鞋,355,4,,,S,,A,,S,,S,S,,洛丽塔,大小姐,店·金币/浪·迷/浪·幻,,V1.3.2
70356,花季,356,4,,A,,,S,,S,,S,A,,洛丽塔,英伦,赠·成就,甜美花季,V1.3.2
70357,公主时光,357,3,,A,,,S,,A,,S,A,,洛丽塔,,赠·成就,蛋糕庄园,V1.3.2
70358,金属轰鸣,358,4,,,S,S,,,S,,A,,A,欧式古典,,兑·花园,暖系机械,V1.3.6
70359,糖果心·鞋,359,3,,A,,,A,,S,,A,A,,洛丽塔,,设·图,,V1.3.2
70360,花蜜,360,5,,B,,,B,,B,,B,B,,洛丽塔,,赠·好友,花田香气,V1.3.2
70361,奶油泡芙,361,3,,A,,S,,,A,,A,,S,洛丽塔,,兑·花园,泡芙小姐,V1.3.6
70362,灵卜,362,5,,S,,,B,,S,,S,S,,,,浪·迷/浪·幻,星夜占卜师,V1.3.2
70363,千金叶,363,4,,S,,SS,,,A,S,,S,,,,浪·迷/浪·幻,,V1.3.2
70365,铆钉靴,365,4,,S,,,S,A,,S,,S,,摇滚风,,店·金币/浪·迷/浪·幻,摇滚歌手,V1.3.2
70368,香罗,368,5,,A,,S,,A,,,A,,B,,,赠·签到,红裳锦绣,V1.3.2
70369,蜜糖浆,369,5,,B,,,B,,B,,B,,C,,,赠·V礼包,草莓甜心,V1.3.2
70370,绑带凉鞋,370,3,,,A,A,,A,,A,,A,,,,店·金币,,V1.3.2
70372,先锋拖鞋,372,3,,,S,,A,B,,,A,S,,,,7-2少,,V1.3.2
70373,星愿鞋,373,4,,,A,S,,,S,,A,S,,,,浪·迷/浪·幻,,V1.3.2
70378,芝士条,378,3,,,S,S,,B,,B,,S,,,,5-支1少,,V1.3.2
70379,月光宝盒,379,2,,,B,S,,S,,B,,S,,,,店·金币,,V1.3.2
70382,海星凉拖,382,2,,,A,,A,,A,,A,A,,,,店·金币/浪·迷,,V1.3.2
70383,粉色凉拖,383,2,,,A,,A,,A,,A,A,,,,浪·迷/赠·签到,,V1.3.2
70384,蝴蝶梦,384,5,,SS,,A,,B,,SS,,S,,童话系,,赠·成就,蝴蝶夫人,V1.3.2
70385,殿雪诗,385,3,,,S,A,,,A,S,,B,,,,浪·迷/浪·幻/赠·成就,,V1.3.2
70386,轻粉舞鞋,386,3,,,S,,A,,A,,S,A,,大小姐,,浪·迷/浪·幻,,V1.3.2
70387,印花单鞋,387,3,,,A,A,,,S,,A,S,,,,店·金币/浪·迷/浪·幻,,V1.3.2
70388,韶薇,388,4,,A,,A,,,S,,A,S,,洛丽塔,,浪·幻,琉光蔷薇,V1.3.2
70389,梦幻庭园,389,4,,S,,S,,C,,S,,A,,洛丽塔,,浪·幻,梦幻下午茶,V1.3.2
70390,暗夜哥特,390,4,,S,,S,,,A,,A,,S,哥特风,洛丽塔,浪·幻,暗夜萝莉,V1.3.2
70391,花嫁礼鞋,391,3,,A,,A,,,B,,S,S,,婚纱,洛丽塔,设·图,花嫁童话,V1.4.5
70392,首席特助·鞋,392,3,,S,,S,,,C,A,,S,,,,店·金币,首席特助,V1.3.2
70393,洛可的鞋柜,393,4,,S,,B,,,S,,S,,A,洛丽塔,,兑·仙履,洛可的茶会,V1.3.2
70394,荒原凉鞋,394,3,,SS,,B,,B,,S,,S,,波西米亚,,设·图,荒原的花,V1.3.2
70395,超级特工·鞋,395,4,,C,,S,,SS,,S,,,S,侠客联盟,摇滚风,设·图,最美特工,V1.3.2
70396,绮霞景,396,4,,,C,SS,,S,,,S,S,,中式现代,,设·图,霞赤图,V1.3.2
70397,雨雾,397,4,,,C,S,,S,,,S,S,,中式现代,,设·定396,,V1.3.2
70398,白雪长靴,398,5,,,A,S,,,A,,S,,B,,,赠·首充,慕冬天使,V1.3.2
70400,黑漆长靴,400,3,,,A,A,,A,,A,,,A,,,浪·幻,,V1.3.2
70401,红漆长靴,401,3,,,A,A,,A,,S,,,A,,,设·定400,,V1.3.2
70402,雪摇篮,402,5,,S,,,A,,S,,S,C,,,,浪·迷,冬恋奇迹,V1.3.2
70403,雪摇篮·蓝,403,2,,A,,A,,,A,,A,A,,,,浪·迷,,V1.3.2
70405,雪摇篮·黑,405,2,,A,,A,,,A,,A,A,,,,设·定403,,V1.3.2
70410,漫纱舞鞋,410,4,,A,,,A,,S,S,,B,,,,店·金币,漫纱轻舞,V1.5.1
70414,瞾瞾,414,5,,A,,S,,S,,A,,A,,中式古典,,赠·V礼包,一代女皇,V1.3.2
70415,叶片雨鞋,415,2,,,B,,B,B,,,B,S,,雨季装备,,店·钻石/浪·迷,,V1.3.2
70419,高帮靴,419,2,,,A,A,,A,,A,,,A,,,赠·成就,,V1.3.2
70420,模特气场,420,2,,,C,A,,S,,A,,,S,,,店·钻石,,V1.3.2
70421,骨墨,421,4,,S,,A,,A,,S,,S,,,,6-支3少,,V1.3.2
70422,高跟领域·黑,422,3,,,B,S,,S,,S,,S,,,,店·金币,,V1.3.2
70423,高跟领域·玫红,423,3,,,C,S,,S,,A,,S,,,,设·定422,,V1.3.2
70424,魅紫,424,2,,,A,A,,A,,A,,A,,,,店·金币,,V1.3.2
70425,夜色獠牙,425,3,,B,,S,,S,,A,,S,,,,店·金币,,V1.3.2
70432,学生鞋·黑,432,3,,,S,B,,,B,,S,,B,英伦,,设·定111,,V1.3.2
70435,白雪小皮鞋,435,2,,,A,A,,,A,,A,A,,,,店·金币,,V1.3.2
70446,花苞球·粉,446,3,,,B,S,,,S,B,,S,,,,设·定129,,V1.3.2
70447,行走的诗·蓝,447,3,,,B,S,,,S,B,,S,,,,设·定132,,V1.3.2
70448,深蓝秘密,448,3,,,A,S,,A,,A,,S,,,,店·金币/赠·成就,,V1.3.2
70449,少女心·粉,449,4,,S,,B,,S,,,S,,B,,,店·金币,,V1.3.2
70450,少女心·红,450,4,,S,,B,,S,,,S,,B,,,设·定449,,V1.3.2
