全衣柜编号,名称,分类编号,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径,套装,版本号
30072,斯文侍者·马甲,072,3,,,A,S,,A,,S,,,S,中性风,OL,设·定071,,V1.3.2
30073,风趣侍者·马甲,073,3,,,A,S,,A,,A,,,A,中性风,OL,设·定071,,V1.3.2
30074,乖顺侍者·马甲,074,3,,,S,S,,A,,S,,,A,中性风,OL,设·定071,,V1.3.2
30075,腊月,075,4,,S,,,S,,S,,S,,A,冬装,中式现代,设·图,,V1.3.2
30076,温柔医生,076,3,,,A,A,,A,,,S,,A,医务使者,,设·图,神圣医者,V1.3.2
30077,光荣齿轮,077,4,,S,,A,,A,,S,,S,,欧式古典,中性风,兑·花园,暖系机械,V1.3.6
30078,星夜卜,078,5,,SS,,SS,,,SS,SS,,SS,,童话系,,浪·迷/浪·幻,星夜占卜师,V1.3.2
30080,薄纱外套,080,3,,,S,S,,C,,A,,S,,居家服,,店·金币,,V1.3.2
30082,吾皇至上,082,5,,S,,S,,SS,,,B,,S,,,店·钻石,,V1.3.2
30083,伯爵夫人的披肩,083,4,,S,,S,,,B,,B,,SS,欧式古典,,店·金币/浪·迷/浪·幻,,V1.3.2
30084,灰度,084,2,,,S,,B,,A,,A,,A,运动系,,店·金币,,V1.3.2
30086,绿格子,086,3,,,A,,S,B,,,S,S,,,,店·金币,,V1.3.2
30087,牛仔外套,087,3,,,S,,A,,S,C,,S,,中性风,牛仔布,店·金币/浪·迷/浪·幻,,V1.3.2
30088,黑色外套,088,3,,,A,S,,A,,,S,,A,OL,,浪·迷/浪·幻,,V1.3.2
30089,白格外套,089,3,,,A,S,,S,,,A,,A,OL,,设·定088,,V1.3.2
30091,羽绒背心,091,4,,,S,,A,,S,,S,,S,冬装,,浪·迷/浪·幻,,V1.3.2
30094,衬衣外套,094,2,,,A,A,,A,,,A,,A,,,店·金币,,V1.3.2
30096,丝巾开衫,096,3,,,S,,S,B,,A,,S,,,,浪·迷/浪·幻,,V1.3.2
30097,凤凰花开,097,3,,,A,,A,,A,,A,,A,森女系列,,店·金币/浪·迷/浪·幻,,V1.3.2
30098,喵了个咪,098,3,,B,,B,,SS,,B,,,SS,,,店·金币,,V1.3.2
30099,碳酸饮料,099,3,,,A,,A,,S,,S,,A,运动系,,店·金币,,V1.3.2
30100,漫雪,100,2,,,A,B,,,A,,S,,A,冬装,,店·金币/浪·迷,,V1.3.2
30101,蓝染外套,101,3,,S,,S,,B,,,S,B,,,,店·金币,,V1.3.2
30102,普通外套,102,3,,,A,A,,S,,,S,,A,OL,,9-6少/4-2少,,V1.3.2
30104,滑板外套,104,2,,,A,,C,,A,,A,,S,运动系,,浪·迷,,V1.3.2
30105,明信片铁盒,105,3,,,C,S,,A,,,S,,S,英伦,,店·金币,,V1.3.2
30106,王的女人,106,3,,,S,,A,A,,A,,,S,摇滚风,,浪·迷/浪·幻,,V1.3.2
30107,小秘书,107,3,,,S,A,,,S,,A,,A,防晒,,店·金币/浪·迷/浪·幻,,V1.3.2
30109,灰格外套,109,4,,,S,S,,,A,,A,,S,英伦,,店·金币/浪·迷/浪·幻,,V1.3.2
30111,毛衣背心,111,3,,,S,,B,,A,,S,,S,,,浪·迷/浪·幻,,V1.3.2
30113,大小姐的斗篷,113,4,,,B,S,,A,,,S,,SS,森女系列,,浪·迷/浪·幻,,V1.3.2
30114,素米,114,3,,,S,A,,A,,,S,,A,防晒,,设·图,,V1.3.2
30116,沉默蔷薇,116,4,,,A,,S,,A,A,,,SS,冬装,,7-7少,,V1.3.2
30117,社会实践,117,3,,,S,,S,,A,,S,,C,牛仔布,,浪·迷/浪·幻,,V1.3.2
30118,复合外套,118,3,,,S,S,,B,,,S,,A,碎花,,店·钻石/浪·迷/浪·幻,,V1.3.2
30121,布袍,121,3,,,A,S,,B,,,A,,S,碎花,,浪·迷/浪·幻,,V1.3.2
30123,修身棉服,123,3,,,S,,A,B,,,S,,S,,,浪·迷/浪·幻,,V1.3.2
30124,小开衫,124,3,,,S,A,,,C,,A,S,,,,浪·迷/浪·幻,,V1.3.2
30125,雪山上的礼物,125,4,,,B,S,,S,,S,,S,,,,店·金币,,V1.3.2
30127,有生之年,127,3,,,B,S,,A,,,S,A,,防晒,,浪·迷/浪·幻,,V1.3.2
30128,陌路人,128,3,,A,,S,,,A,A,,A,,,,浪·迷/浪·幻,,V1.3.2
30129,离别车站,129,3,,,A,A,,,A,,S,,S,冬装,英伦,浪·迷/浪·幻,,V1.3.2
30130,钟楼,130,3,,S,,S,,B,,B,,,S,英伦,,浪·幻,,V1.3.2
30131,马蹄莲,131,3,,,S,B,,,A,,S,S,,,,浪·迷/浪·幻,,V1.3.2
30132,星夜颂,132,3,,,A,,A,,A,,A,A,,,,店·钻石,,V1.3.2
30133,雪境羽,133,5,,S,,S,,S,,S,,S,,童话系,,店·钻石,,V1.3.2
30134,无可取代,134,4,,,S,,A,S,,,A,,S,中性风,,浪·迷/浪·幻,,V1.3.2
30135,硬式咆哮,135,3,,S,,,S,B,,A,,,S,摇滚风,,设·图,摇滚歌手,V1.3.2
30137,西装外套,137,3,,A,,S,,A,,A,,,S,OL,中性风,店·金币/浪·迷/浪·幻,,V1.3.2
30138,貂绒披肩,138,2,,,C,S,,S,,B,,,S,冬装,,店·金币,,V1.3.2
30139,盲目的爱,139,4,,,S,S,,,A,,S,,A,英伦,,浪·迷/浪·幻,,V1.3.2
30140,煌曲,140,4,,S,,,SS,,A,A,,S,,中式现代,,兑·仙履,,V1.3.2
30141,草莓巧克力,141,5,,S,,,B,,S,,B,,S,童话系,,赠·V礼包,草莓甜心,V1.3.2
30142,沙滩排球,142,3,,,A,,S,,A,S,,A,,,,浪·迷/浪·幻,,V1.3.2
30143,粉色雪花,143,3,,,S,,A,,A,,S,,B,冬装,,浪·迷/浪·幻,,V1.3.2
30144,缝纫班·紫,144,4,,,S,,A,,S,,A,,S,中性风,,店·金币/浪·迷/浪·幻,,V1.3.2
30146,小烤箱,146,3,,,S,,S,,S,,A,,A,小动物,防晒,店·金币/浪·迷/浪·幻,,V1.3.2
30147,迷雾街头,147,4,,S,,,S,B,,,S,S,,防晒,洛丽塔,浪·迷/浪·幻,,V1.3.2
30148,修身西服,148,3,,S,,,S,,B,S,,B,,OL,,店·金币,首席特助,V1.3.2
30149,特别行动,149,4,,S,,,SS,A,,S,,S,,侠客联盟,摇滚风,设·图,最美特工,V1.3.2
30150,凝墨,150,4,,A,,S,,,S,,S,,A,中式现代,,浪·迷/浪·幻/浪·缥缈,,V1.3.2
30151,白蝙蝠,151,3,,,A,S,,,C,,S,,S,冬装,,设·图,,V1.3.2
30152,下雨的天气,152,3,,,A,S,,,B,,S,,S,英伦,,店·金币/浪·迷/浪·幻,,V1.3.2
30153,硬质笔记,153,3,,,S,,S,S,,,B,S,,,,店·金币,,V1.3.2
30154,缝纫班·蓝,154,3,,,S,,A,,A,,S,,A,中性风,牛仔布,浪·迷/浪·幻,,V1.3.2
30155,叶片雨衣,155,3,,,S,,S,,A,,A,A,,雨季装备,,3-支2少/联盟·小铺,,V1.3.2
30159,千尘,159,3,,,B,S,,S,,,B,S,,中式古典,,店·金币,,V1.3.2
30163,清兰依,163,3,,,B,S,,A,,,S,,A,中式古典,,店·金币,,V1.3.2
30168,设计总监,168,3,,,B,S,,S,,B,,,S,中性风,,4-1少,,V1.3.2
30169,豹纹开衫·冷,169,3,,S,,S,,A,,A,,,S,,,店·金币,,V1.3.2
30170,豹纹开衫·暖,170,3,,B,,S,,S,,S,,,A,,,设·定0169,,V1.3.2
30171,萤尘,171,3,,,S,B,,,A,,S,S,,,,店·金币,,V1.3.2
30176,彩蝶·落花,176,4,,A,,A,,,A,,A,,SS,和风,,设·定034,,V1.3.2
30177,彩蝶·兰趣,177,4,,S,,S,,S,,,B,,S,和风,,设·定034,,V1.3.2
30178,彩蝶·翠意,178,4,,A,,A,,A,,,SS,,SS,和风,,设·定034,,V1.3.2
30179,剪裁T恤·蓝,179,3,,,S,,S,B,,B,,S,,摇滚风,,设·定039,,V1.3.2
30180,剪裁T恤·黑,180,3,,,A,,S,B,,S,,A,,摇滚风,,设·定039,,V1.3.2
30181,剪裁T恤·浅咖,181,3,,,S,,B,B,,S,,S,,摇滚风,,设·定039,,V1.3.2
30200,繁华梦,200,3,,,S,S,,A,,B,,,C,中式现代,女神系,浪·迷/浪·幻/浪·缥缈,,V1.3.2
30201,繁华梦·华丽,201,4,,S,,SS,,SS,,A,,,A,中式现代,女神系,设·进200/浪·迷/浪·幻,,V1.3.2
30202,繁华梦·珍稀,202,5,,S,,SS,,SS,,S,,,S,中式现代,女神系,设·进201,上海烟云梦,V1.3.2
30203,职场女性,203,4,,,B,SS,,S,,,B,,S,中性风,,店·钻石,,V1.3.2
30204,部落披肩,204,3,,,A,,S,,B,,A,,S,民族风,,兑·花园,侦探少女,V1.3.6
30205,花月裴,205,5,,,A,S,,SS,,SS,,A,,中式现代,,浪·缥缈/兑·翡翠,镜中花,V1.3.6
30206,对月,206,3,,,A,A,,,S,,S,A,,中式古典,,浪·缥缈,,V1.3.6
30207,青衫湿,207,3,,,B,S,,A,,,S,A,,中式古典,,设·定206,,V1.3.2
30208,衣粉绵,208,3,,,A,B,,,S,,S,A,,中式古典,,设·定206,,V1.3.2
30209,竹隐墙,209,3,,,B,S,,A,,,S,B,,中式古典,,设·定206,,V1.3.2
30210,邀泛花,210,4,,,S,SS,,,A,,A,A,,中式古典,,浪·缥缈,,V1.3.6
30211,迷彩外套,211,4,,,A,,SS,B,,SS,,A,,军装,,设·图,北地英姿,V1.3.6
30212,月秋浦,212,5,,A,,S,,S,,,SS,S,,中式古典,,浪·缥缈/兑·翡翠,水中月,V1.3.6
30213,流霞缎,213,6,,,A,SS,,S,,,SS,A,,,,设·图,韶颜倾城,V1.3.8
30214,流霞缎·紫,214,6,,,A,SS,,SS,,S,,S,,,,设·定213,,V1.3.8
30215,条纹绅士·外套,215,4,,,S,SS,,A,,,A,,A,中性风,,设·图,条纹绅士,V1.3.2
30216,星河纱巾·珍稀,216,5,,A,,SS,,,S,SS,,A,,民族风,,设·进234,塔罗牌师,V1.4.1
30217,钻影披风·华丽,217,5,,S,,SS,,A,,A,,,S,中性风,欧式古典,设·进239,怪盗蓝宝石,V1.4.1
30218,森歌,218,3,,,A,,S,,S,,A,A,,,,8-2少,,V1.3.8
30219,绵羊外套·华丽,219,5,,SS,,,A,,SS,,A,,A,,,设·进236,森女羊,V1.4.1
30220,随意青春·黄,220,4,,,A,,SS,,A,,S,,B,,,联盟·小铺,,V1.4.1
30221,随意青春·绿,221,4,,,A,,A,,S,,SS,,A,,,设·定220,,V1.4.1
30222,仙雾森林,222,3,,A,,S,,S,,A,,B,,,,设·图,,V1.3.8
30223,仙雾森林·华丽,223,4,,S,,A,,SS,,A,,A,,,,设·进222,,V1.3.8
30224,仙雾森林·珍稀,224,5,,SS,,SS,,A,,A,,S,,,,设·进223,光明精灵,V1.3.8
30225,暗夜森林·珍稀,225,5,,S,,A,,SS,,SS,,A,,,,设·定224,,V1.3.8
30226,茶花纱缎,226,4,,,S,SS,,B,,,A,S,,,,设·图,,V1.3.8
30227,茶花纱缎·华丽,227,5,,,SS,SS,,S,,,B,S,,,,设·进226,山茶春色,V1.3.8
30228,女神·黑白英豪,228,3,,,S,,A,A,,A,,,B,,,店·金币,,V1.4.1
30229,女神·月球飞行,229,3,,,S,A,,A,,A,,,A,,,店·金币,,V1.4.1
30230,小名媛,230,3,,,S,B,,S,,,B,A,,哥特风,,设·重构,,V1.4.1
30231,小名媛·华丽,231,4,,A,,SS,,SS,,,A,A,,哥特风,,设·进230,,V1.4.1
30232,小名媛·珍稀,232,5,,SS,,A,,SS,,,S,A,,哥特风,,设·进231,夜系名媛,V1.4.1
30233,星河纱巾,233,3,,A,,,S,,A,B,,S,,民族风,,设·匣子,,V1.4.1
30234,星河纱巾·华丽,234,4,,A,,,S,,A,A,,S,,民族风,,设·进233,,V1.4.3
30236,绵羊外套,236,4,,,S,,A,,SS,,A,,S,冬装,小动物,设·重构,,V1.4.1
30239,钻影披风,239,4,,SS,,S,,S,,A,,,B,欧式古典,中性风,联盟·小铺,,V1.4.1
30240,女神·佳人,240,3,,,S,A,,S,,,B,,A,,,店·金币,,V1.4.3
30241,女神·深海魔法,241,3,,B,,S,,S,,,A,,A,,,店·金币,,V1.4.3
30242,女神·灰色街道,242,3,,,B,S,,S,,B,,,A,,,店·金币,,V1.4.3
30243,枫叶大衣,243,4,,,A,SS,,S,,,B,,A,冬装,,设·图,枫叶温度,V1.4.3
30244,真丝外套·白,244,3,,,S,B,,S,,A,,,A,,,浪·昼夜,,V1.5.4
30245,真丝外套·黑,245,3,,,S,B,,S,,A,,,B,,,设·定244,,V1.5.4
30246,蕾丝外套·白,246,4,,,B,SS,,S,,,A,,A,,,浪·昼夜,,V1.5.4
30247,蕾丝外套·月,247,4,,,A,S,,SS,,,A,,A,,,设·定246,,V1.5.4
30248,蕾丝外套·粉,248,4,,,A,S,,SS,,,A,,A,,,设·定246,,V1.5.4
30249,蕾丝外套·黑,249,4,,,A,SS,,S,,,A,,A,,,设·定246,,V1.5.4
30251,田园流苏,251,2,,,S,,A,,B,,S,,B,,,设·图,,V1.5.2
30252,田园流苏·华丽,252,3,,A,,S,,,A,,S,,B,,,设·进251,,V1.5.2
30253,田园流苏·珍稀,253,4,,SS,,B,,,A,,SS,,A,,,设·进252,鹿灵枝,V1.5.2
30254,陆军少校,254,4,,SS,,SS,,B,,A,,,A,军装,,设·图,陆军少校,V1.5.2
30255,海军少校,255,4,,A,,B,,SS,,S,,,A,军装,,设·定254,,V1.5.2
30256,部落精神,256,4,,A,,,SS,,B,,SS,,A,民族风,,设·图,部落图腾,V1.5.2
30257,纱网·珍稀,257,4,,S,,,A,,S,,A,,A,原宿系,,设·进258,魔力星,V1.5.2
30258,纱网·华丽,258,3,,A,,,S,,S,,B,,A,原宿系,,设·进259,,V1.5.2
30259,纱网,259,2,,,B,,S,,S,,A,,A,,,设·图,,V1.5.2
30260,春山新雨,260,4,,,S,SS,,,B,,S,,A,,,10-支3公,听竹轩,V1.5.2
30261,半色调·灰,261,3,,,A,S,,S,,A,,,A,,,10-7少,,V1.5.2
30262,半色调·红,262,3,,,A,S,,A,,,S,,A,,,设·定261,,V1.5.2
30263,半色调·蓝,263,3,,,A,S,,B,,,S,,A,,,设·定261,,V1.5.2
30264,链阳·外套,264,3,,A,,,B,S,,S,,,A,,,店·金币,,V1.5.1
30265,幻影披风,265,5,,A,,S,,A,,S,,,A,,,浪·幻,魔术大师,V1.5.1
30266,雪绒披肩,266,5,,SS,,S,,A,,A,,,A,,,浪·幻,雪莲,V1.5.1
30267,凌人风姿,267,4,,A,,SS,,S,,B,,,S,,,兑·仙履,蒸汽朋克,V1.5.1
30268,卓越风姿,268,4,,A,,A,,S,,SS,,,A,,,设·定267,,V1.5.1
30269,热夏·红,269,4,,,A,,SS,,S,,A,A,,,,店·金币,跃动少女,V1.5.2
30270,热夏·黑,270,4,,,A,B,,S,,SS,,A,,,,设·定269,,V1.5.2
30271,热夏·粉,271,4,,,A,,S,,SS,,A,B,,,,设·定269,,V1.5.2
30278,蓝空,278,3,,,A,S,,S,,,A,,B,,,店·金币,,V1.6.1
30279,寄思纸,279,4,,A,,,A,,S,,SS,,A,中式现代,,联盟·梦幻,水墨抄,V1.6.1
30280,天蓝斗篷,280,3,,,S,,B,,B,,S,,A,,,联盟·小铺,,V1.6.1
30281,天蓝披风,281,4,,A,,SS,,B,,,S,,A,,,设·进280,,V1.6.1
30282,雪绒披风,282,5,,SS,,SS,,A,,,A,,S,,,设·进281,公主的戎装,V1.6.1
30287,巧克力披肩,287,4,,S,,S,,A,,,A,,A,英伦,,店·钻石,巧克力物语,V1.6.1
30297,柔暖,297,5,,A,,SS,,,A,,SS,A,,,,店·金币,生日贺礼,V1.6.2
30300,绒领外套,300,4,,A,,SS,,A,,A,,,SS,中式现代,,赠,花遇时光,V1.6.4
30301,忆回肠,301,4,,S,,SS,,A,,A,,,A,中式现代,,活动·元旦彩灯,诵霓裳,V1.6.4
30302,暖绒斗篷,302,4,,A,,,A,,S,,A,,SS,冬装,,赠·一元购,,V1.6.3
30274,爱心,274,3,,B,,S,,A,,A,,,S,,,11-7少,,V1.6.5
30276,图腾针织,276,3,,A,,B,,S,,B,,,SS,,,11-5少,,V1.6.5
30283,针织外套,283,3,,,A,,S,,S,,B,,A,,,设·图,油画家,V1.6.5
30284,针织外套·蓝,284,3,,,S,,B,,A,,S,,A,,,设·定283,,V1.6.5
30285,绢蝶翼,285,5,,SS,,S,,,A,,S,A,,,,设·图,红莓绢蝶,V1.6.5
30286,海盗披风,286,5,,SS,,A,,A,,SS,,,S,,,设·图,亚尼拉海盗,V1.6.5
30288,蝶舞天涯,288,3,,,S,A,,,B,,S,B,,,,11-支1公,,V1.6.5
30289,蝶舞天涯·华丽,289,4,,A,,A,,,S,,SS,A,,,,设·进288,,V1.6.5
30290,蝶舞天涯·珍稀,290,5,,SS,,SS,,S,,A,,A,,,,设·进289,蝶舞翩跹,V1.6.5
30291,蝶舞天涯·紫蝶,291,5,,SS,,SS,,A,,S,,A,,,,设·定290,,V1.6.5
30292,蝶舞天涯·粉蝶,292,5,,S,,S,,,S,,S,S,,,,设·定290,,V1.6.5
30293,草莓冰点,293,3,,,SS,,S,,A,,B,B,,森女系列,,11-2公,,V1.6.5
30294,草莓冰点·华丽,294,4,,A,,A,,,S,,SS,A,,森女系列,,设·进293,,V1.6.5
30295,草莓冰点·珍稀,295,5,,SS,,A,,,SS,,A,S,,森女系列,,设·进294,采撷草莓,V1.6.5
30296,草莓冰点·抹茶,296,5,,A,,SS,,,S,,SS,A,,森女系列,,设·定295,,V1.6.5
30304,云春暖,304,2,,,B,B,,,S,,S,B,,,,活动·冰雪舞会,春之少女,V1.6.5
30307,寒冬之覆,307,5,,SS,,SS,,A,,A,,A,,,,设·图,雪之女王,V1.6.5
30306,云春暖·珍稀,306,4,,S,,SS,,,A,,A,S,,,,设·进305,春之少女,V1.6.5
30305,云春暖·华丽,305,3,,A,,A,,,S,,S,B,,,,设·进304,,V1.6.5
30299,韶粉柠檬,299,4,,A,,,A,,SS,,SS,B,,,,兑·仙履,芸香柠檬,V1.6.6
30310,毛绒风衣,310,5,,SS,,SS,,B,,A,,,S,,,活动·春节福袋,羁绊娇犬,V1.6.6
30311,幽云竹,311,5,,SS,,SS,,A,,,A,,A,中式古典,,活动·春节福袋,竹夜歌,V1.6.6
30312,烟云花枝,312,4,,A,,SS,,S,,,A,,A,中式现代,,浪·云禅,,V1.6.6
30313,烟云花枝·墨,313,4,,A,,A,,S,,SS,,,A,中式现代,,设·定312,,V1.6.6
30314,祥云盘蕊,314,5,,A,,SSS,,A,,,SSS,A,,中式现代,,浪·云禅,,V1.6.6
30315,祥云盘蕊·靛,315,5,,SSS,,SSS,,A,,,A,A,,中式现代,,设·定314,,V1.6.6
30319,花月徭,319,5,,SS,,SS,,,A,,A,S,,中式古典,,活动·春节福袋,花月谣,V1.6.6
30298,星象巨变,298,3,,,S,S,,B,,,B,A,,,,赠·签到,,V1.6.5
30308,卧桃春晓,308,4,,A,,S,,SS,,A,,,A,中式现代,,活动·春节二选一,鸿运春桃,V1.6.6
30317,锦瑟暖风裘,317,5,,SS,,SS,,A,,A,,,A,中式古典,,活动·春季二选一,踏雪寻梅,V1.6.6
30316,甜心马甲,316,3,,,S,,B,,A,,S,A,,,,活动·情人节,蜜语甜心,V1.6.6
